Wspd,Wdir,Etmp,Itmp,Ndir,Pab1,Pab2,Pab3,Prtv
7.77,-2.17,30.14,41.9,-1.83,1,1,1,-0.28
7.99,-1.97,30.09,41.93,-7.4,1,1,1,-0.27
8.01,0.15,30.1,41.95,-9.42,1,1,1,-0.21
8.06,-3.77,30.06,41.87,-12.16,1,1,1,-0.22
9.11,-3.31,29.82,41.73,-21.32,1,1,1,-0.24
10.96,-0.38,29.51,41.55,-30.46,1.01,1.01,1.01,-0.22
12.81,-2.17,29.44,41.51,-23.73,1.07,1.07,1.07,-0.26
13.43,-0.49,29.43,41.35,-23.73,1.09,1.09,1.09,-0.17
12.83,-3.44,29.34,41.29,-23.73,1.07,1.07,1.07,-0.24
12.65,-1.91,29.22,41.31,-23.73,1.07,1.07,1.07,-0.32
12.52,0.99,29.24,41.53,-23.73,1.06,1.06,1.06,-0.26
13.25,0.45,29.33,41.71,-23.73,1.08,1.08,1.08,-0.21
13.48,-0.12,29.17,41.84,-23.73,1.08,1.08,1.08,-0.2
13.04,-0.37,29.08,41.86,-23.73,1.07,1.07,1.07,-0.19
12.23,-0.83,29.08,41.9,-23.73,1.07,1.07,1.07,-0.21
11.58,-3.32,29.01,42.01,-23.7,1.06,1.06,1.06,-0.25
11.21,-1.38,29.17,42.24,-28.84,1.04,1.04,1.04,-0.25
10.84,0.06,29.46,42.43,-31.39,1.03,1.03,1.03,-0.25
11.03,2.03,29.82,42.77,-31.39,1.03,1.03,1.03,-66.01
12.23,2.65,30.22,43.1,-27.37,1.07,1.07,1.07,-61.25
12.19,-1.5,30.52,43.23,-23.69,1.07,1.07,1.07,-0.26
13.51,-2.8,30.87,43.55,-23.69,1.1,1.1,1.1,-0.27
11.93,-2.88,31.1,43.63,-23.69,1.06,1.06,1.06,-0.28
11.31,-0.08,31.44,43.92,-23.69,1.04,1.04,1.04,-0.2
11.56,0.05,31.68,44.44,-23.69,1.05,1.05,1.05,-0.26
11.43,0.45,31.94,44.69,-18.9,1.04,1.04,1.04,-0.27
11.29,2.88,32.11,44.96,-21.49,1.04,1.04,1.04,-0.29
11.12,0.52,32.34,45.13,-17.47,1.02,1.02,1.02,-0.24
10.45,-1.32,32.55,45.33,-18.44,1.01,1.01,1.01,-0.21
9.61,1.11,32.81,45.42,-17.15,1,1,1,-0.23
9.17,1.62,33.04,45.61,-12.52,1,1,1,-0.19
7.96,0.09,33.27,45.84,-6.19,1,1,1,-0.22
8.71,0.17,33.57,46.09,14.61,1,1,1,-0.18
8.22,0.27,33.67,46.09,12.05,1,1,1,-0.24
8.08,2.48,33.9,46.22,24.38,1,1,1,-0.19
7.45,-1.53,34.14,46.33,30.31,1,1,1,-0.22
6.91,5.91,34.38,46.42,32.56,1.11,1.11,1.11,-0.02
7.25,-0.18,34.52,46.45,60.11,1,1,1,-0.21
7.65,0.3,34.65,46.35,39.77,1,1,1,-0.27
7.66,-0.72,34.8,46.39,45.1,1,1,1,-0.21
7.55,-0.29,34.94,46.33,34.27,1,1,1,-0.24
6.19,2.87,35.12,46.19,36.55,1,1,1,-0.21
7.55,-1.33,35.33,46.47,57.58,1,1,1,-0.23
6.99,-0.41,35.46,46.45,47.39,1,1,1,-0.22
6.32,2.57,35.59,46.49,66.73,1,1,0.99,-0.2
5.83,-3.31,35.63,46.42,50.64,0.99,0.99,0.99,-0.27
6.32,-2.81,35.87,46.49,47.97,1.12,1.12,1.12,0.01
5.9,2.8,36.09,46.63,56.39,1,1,1,-0.2
5.61,-12.36,36.42,46.98,51.68,1.67,1.67,1.67,-0.25
5.72,0.08,37.24,48.74,67.22,1.86,1.86,1.86,-0.3
5.72,-43.83,37.59,49.22,81.45,1.9,1.9,1.9,-0.3
3.97,-62.36,38.09,49.56,81.45,1.9,1.9,1.9,-0.3
3.25,-22.98,38.58,49.93,81.45,1.9,1.9,1.9,-0.3
6.34,-29.7,38.96,50.13,81.45,1.9,1.9,1.9,-0.3
4.82,-25.09,39.18,50.15,81.45,1.9,1.9,1.9,-0.3
3.77,-30.2,39.22,50.17,81.45,1.9,1.9,1.9,-0.3
5.83,-42.78,39.33,50.18,81.45,1.9,1.9,1.9,-0.3
0,-9.33,-254.99,-254.99,76.03,0.93,0.93,0.93,0
0,-9.44,-258.02,-258.02,76.94,0.94,0.94,0.94,0
4.82,-40.94,31.92,39.99,81.45,1.88,1.88,1.88,0
2.69,-25.19,-13.29,-6.92,81.45,1.75,1.75,1.75,0
6.19,-1.13,39.76,46.53,81.45,1.9,1.9,1.9,0
4.17,-15.94,-14.03,-8.96,79.33,1.75,1.75,1.75,0
4.2,-42.64,39.81,46.73,43.89,1.9,1.9,1.9,0
4.89,9.27,39.62,47.39,26.82,1.07,1.07,1.07,-0.04
4.28,1.45,38.49,46.67,63.55,1,1,1,-0.22
5.34,-8.48,38.25,46.45,47.41,0.99,0.99,0.99,-0.22
2.19,0.45,38.09,46.28,9.03,0.99,0.99,0.99,-0.19
4.03,30.12,38.46,47.31,52.05,1.73,1.73,1.73,0.14
4.24,-9.59,38.5,47.67,61.25,0.99,0.99,0.99,-0.2
3.18,5.89,38.07,46.61,45.3,0.99,0.99,0.99,-0.23
4.13,-2.18,37.88,46.33,81.45,0.99,0.99,0.99,-0.21
3.82,4.76,37.55,46.05,69.99,0.99,0.99,0.99,-0.24
3.3,-4.46,37.31,45.79,69.1,0.99,0.99,0.99,-0.19
2.67,2.24,37.36,45.77,82.54,1.01,1.01,1.01,-0.05
4.48,-1.19,37.41,45.68,80.04,0.99,0.99,0.99,-0.25
4.13,0.47,37.5,45.42,92.21,0.99,0.99,0.99,-0.26
3.75,4.28,37.68,45.33,95.67,0.99,0.99,0.99,-0.24
3.88,-7.15,37.71,45.34,102.59,0.99,0.99,0.99,-0.23
3.83,1.59,37.7,45.27,85.5,0.99,0.99,0.99,-0.23
4.85,0.15,37.48,45.22,75.65,0.99,0.99,0.99,-0.27
3.6,3.22,37.3,45.08,82.32,0.99,0.99,0.99,-0.23
4.4,1.22,37.27,44.98,83.27,0.99,0.99,0.99,-0.26
4.81,-0.95,37.03,44.9,64.06,0.99,0.99,0.99,-0.22
5.43,0.28,36.76,44.77,61.94,0.99,0.99,0.99,-0.25
5.98,-2.4,36.53,44.72,63.29,0.99,0.99,0.99,-0.26
10.89,-4.38,36,44.83,29.06,1.03,1.03,1.03,-0.29
12.12,1.22,34.81,44.27,5.22,1.05,1.05,1.05,-0.19
10.93,2.16,34.27,43.96,6.99,1.02,1.02,1.02,-0.27
11.77,-0.38,33.93,43.98,12.88,1.05,1.05,1.05,-0.25
10.75,-3.54,33.69,44.09,12.88,1.02,1.02,1.02,-0.27
11.22,-4.9,33.42,44.25,12.12,1.03,1.03,1.03,-0.25
10.68,1.86,33.19,44.39,8.28,1.01,1.01,1.01,-0.19
9.41,-4.79,32.89,44.44,10.71,1,1,1,-0.25
11.45,0.32,32.36,44.5,-6.69,1.05,1.05,1.05,-0.28
12.24,0.84,31.76,44.12,-5.22,1.07,1.07,1.07,-0.21
12.45,-1.2,31.19,43.74,-5.2,1.07,1.07,1.07,-0.22
12.77,-2.15,30.65,43.41,-5.19,1.08,1.08,1.08,-0.2
12.89,-7.11,30.21,43.03,-5.19,1.08,1.08,1.08,-0.25
13.49,-7.73,29.85,42.62,-5.19,1.1,1.1,1.1,-0.18
13.64,-7.77,29.6,42.27,-5.19,1.1,1.1,1.1,-0.24
12.73,-5.56,29.39,41.99,-9.36,1.08,1.08,1.08,-0.24
10.99,-1.25,29.15,42.15,-15.86,1.03,1.03,1.03,-0.23
10.14,-3.08,28.96,42.39,-15.86,1.01,1.01,1.01,-0.18
10.17,-0.89,28.86,42.55,-15.86,1,1,1,-0.22
9.95,0.49,28.71,42.53,-9.44,1.02,1.02,1.02,-0.29
12.2,0.7,28.59,42.56,-8.17,1.08,1.08,1.08,-0.23
12.66,1.09,28.54,42.23,-8.17,1.08,1.08,1.08,-0.21
12.58,1.7,28.48,42.09,-8.17,1.08,1.08,1.08,-0.2
9.95,-0.42,28.31,42.09,-8.17,1.01,1.01,1.01,-0.2
10.64,-1.59,28.1,42.17,-9.66,1.01,1.01,1.01,-0.27
7,0.84,27.87,42.05,-2.77,1,1,1,-0.16
5.87,-2.61,27.38,41.73,-9.17,0.99,0.99,0.99,-0.27
4,3.26,27.13,41.76,-8.2,0.99,0.99,0.99,-0.21
4.03,2.88,26.99,41.66,2.82,0.99,0.99,0.99,-0.23
3.46,1.32,26.8,41.36,38.08,0.99,0.99,0.99,-0.23
3.96,-0.03,26.52,40.87,22.25,0.99,0.99,0.99,-0.24
4.63,-2.5,26.25,39.97,38.62,0.99,0.99,0.99,-0.24
5.4,-0.77,26.01,39.09,46.95,0.99,0.99,0.99,-0.25
4.73,3.92,25.84,38.32,40.33,0.99,0.99,0.99,-0.22
4.43,0.28,25.49,37.69,47.41,0.99,0.99,0.99,-0.22
4.85,3.58,25.27,37.15,43.08,0.99,0.99,0.99,-0.24
5.14,-0.44,24.95,36.77,51.45,1,1,1,-0.21
3.7,0.27,24.87,36.4,41.87,0.99,0.99,0.99,-0.25
4.87,0.79,24.68,36.02,42.32,0.99,0.99,0.99,-0.24
5.66,3.18,24.5,35.54,42.99,0.99,0.99,0.99,-0.26
5.52,-1.1,24.29,35.45,39.69,0.99,0.99,0.99,-0.24
5.74,-0.05,24.15,35.12,39.86,0.99,0.99,0.99,-0.26
5.69,1.58,23.96,34.91,43.96,0.99,0.99,0.99,-0.25
5.62,1.72,23.75,34.89,47.59,0.99,0.99,0.99,-0.23
5.9,0.23,23.47,34.34,51.44,0.99,0.99,0.99,-0.28
5.86,4.56,23.18,34.27,60.38,0.99,0.99,0.99,-0.25
4.17,0.2,23.02,33.74,73.79,0.99,0.99,0.99,-0.24
8.79,-2.61,22.9,33.96,57.58,1,1,1,-0.33
9.46,1.58,22.9,34.22,54.6,1,1,1,-0.22
8.85,0.74,22.9,34.38,57.05,1,1,1,-0.26
6.87,-0.66,22.79,34.54,58.68,1,1,1,-0.26
5.7,-4.38,22.57,34.18,60.2,0.99,0.99,0.99,-0.29
6.96,-0.73,22.36,34.15,53.52,1,1,1,-0.31
7.08,-2.9,22.24,34.46,53.05,1,1,1,-0.29
7.31,0.78,22.17,34.38,45.93,1,1,1,-0.28
8.62,-2.88,22.1,34.2,53.38,1,1,1,-0.32
9.29,-2.4,22.04,34,47.76,1,1,1,-0.25
8.16,-1.19,21.95,34.09,45.93,1,1,1,-0.19
7.11,-2.4,21.83,34.16,45.93,1,1,1,-0.34
8.92,-0.09,21.8,34.25,49.28,1,1,1,-0.35
9.43,-3.2,21.77,34.21,53.52,1,1,1,-0.31
8.37,-3.61,21.65,34.15,53.52,1,1,1,-0.26
8.09,1.47,21.52,34.29,53.52,1,1,1,-0.21
7.13,-1.78,21.49,34.31,53.52,1,1,1,-0.26
6.55,-2.64,21.4,34.29,53.52,1,1,1,-0.25
6.53,-3.3,21.3,33.97,48.36,1,1,1,-0.27
6.41,-2.52,21.18,33.9,40.26,1,1,1,-0.24
6.87,3.32,21.14,33.7,38.37,1,1,1,-0.27
7.36,2.44,21.1,33.61,38.37,1,1,1,-0.26
6.99,-1.8,21.1,33.41,38.36,1,1,1,-0.27
7,2.16,21.12,33.4,38.34,1,1,1,-0.29
7.02,-0.96,21.2,33.32,45.79,1,1,1,-0.26
6.26,-4.24,21.2,33.04,45.93,1,1,1,-0.26
6.17,-0.52,21.2,33.02,45.93,1,1,1,-0.26
6.74,-2.08,21.2,32.91,43.31,1,1,1,-0.3
6.25,1.47,21.2,32.89,38.37,1,1,1,-0.26
5.67,0.66,21.27,32.5,42.65,0.99,0.99,0.99,-0.29
6.25,-1.86,21.38,32.77,45.93,1,1,1,-0.24
7.29,-0.91,21.58,32.91,45.93,1,1,1,-0.26
7.45,1.63,21.84,33.26,44.16,1,1,1,-0.25
6.02,0.02,22.19,33.48,47.31,1,1,1,-0.23
5.72,0.39,22.49,33.55,51.96,0.99,0.99,0.99,-0.26
6.92,1.34,22.84,33.8,53.52,1,1,1,-0.25
6.63,1.91,23.24,34.13,54.09,1,1,1,-0.25
6.58,0.93,23.7,34.45,65.81,1,1,1,-0.24
6.32,-0.97,24.16,34.81,58.67,1,1,1,-0.22
6.68,0.54,24.58,35.07,56.54,1,1,1,-0.29
6.34,0.16,24.93,35.35,61.4,1,1,1,-0.24
6.61,0.05,25.21,35.55,60.75,1,1,1,-0.26
5.84,-2.61,25.66,35.82,53.14,0.99,0.99,0.99,-0.26
5.69,0.65,26.16,36.12,36.34,0.99,0.99,0.99,-0.26
6.65,-1.11,26.53,36.41,42.34,1,1,1,-0.25
6.89,-0.46,26.86,36.7,42.26,1,1,1,-0.24
6.57,-1.69,27.04,36.83,46.13,1,1,1,-0.25
4.78,-2.81,27.28,37.04,33.08,0.99,0.99,0.99,-0.25
6.11,4.98,27.81,37.41,47.49,0.99,0.99,0.99,-0.28
6.99,2.71,28,37.8,60.02,1,1,1,-0.23
6.62,-1.53,28.1,37.88,44.28,1,1,1,-0.27
5.15,0.41,28.4,38.06,33.17,0.99,0.99,0.99,-0.23
5.96,4.46,28.67,38.34,57.65,1,1,1,-0.28
5.7,0.76,28.78,38.51,61.12,1,1,1,-0.25
5.12,0.17,28.98,38.58,45.71,0.99,0.99,0.99,-0.23
5.14,0.84,29.23,38.76,65.57,0.99,0.99,0.99,-0.26
5.09,-0.88,29.34,38.79,62.63,0.99,0.99,0.99,-0.26
4.25,1.15,29.52,38.74,67.36,0.99,0.99,0.99,-0.26
4.85,-1.95,29.71,38.82,65.78,0.99,0.99,0.99,-0.26
5.21,-1.22,29.84,39.03,54.63,0.99,0.99,0.99,-0.24
4.49,-0.63,29.98,39.04,45.09,0.99,0.99,0.99,-0.23
4.02,0.25,30.14,39.28,86.02,0.99,0.99,0.99,-0.26
6.15,-2.86,30.22,39.38,63.97,1,1,1,-0.28
3.6,0.22,30.32,39.41,65.05,0.99,0.99,0.99,-0.23
3.7,-2.81,30.5,39.46,73.78,0.99,0.99,0.99,-0.24
5.14,1.2,30.83,39.65,78.98,1.02,1.02,1.02,-0.25
4.47,2.28,30.95,40.07,53.49,1.25,1.25,1.25,-0.07
6.3,-4.52,30.95,39.69,74.85,1,1,1,-0.27
4.19,3.47,31.03,39.47,58.22,0.99,0.99,0.99,-0.27
2.99,-0.47,31.33,39.71,47.02,0.99,0.99,0.99,-0.22
3.81,2.65,31.54,40.06,69.86,1.01,1.01,1.01,-0.02
4,-5.93,31.67,40.23,72.93,0.99,0.99,0.99,-0.27
3.18,6.45,31.77,40.32,59.83,0.99,0.99,0.99,-0.23
3.89,2.74,31.9,40.38,94.17,0.99,0.99,0.99,-0.21
5.32,-4.75,31.99,40.49,64.24,0.99,0.99,0.99,-0.27
4.39,0.82,32.1,40.37,75.21,0.99,0.99,0.99,-0.28
5.19,0.04,32.08,40.44,73.62,0.99,0.99,0.99,-0.23
3.15,4.01,32.09,40.39,66.15,0.99,0.99,0.99,-0.24
3.9,1.39,32.25,40.5,106.05,0.99,0.99,0.99,-0.24
4.63,1.03,32.36,40.6,94.6,0.99,0.99,0.99,-0.25
4.2,-0.58,32.42,40.61,95.64,0.99,0.99,0.99,-0.26
4.64,1.36,32.49,40.48,110.16,0.99,0.99,0.99,-0.25
4.74,-1.79,32.47,40.52,89.1,0.99,0.99,0.99,-0.24
4.59,3.33,32.61,40.52,99.99,0.99,0.99,0.99,-0.23
5.17,-0.26,32.54,40.62,94.87,0.99,0.99,0.99,-0.26
4.39,-3.98,32.62,40.43,99.25,0.99,0.99,0.99,-0.27
3.95,2.18,32.68,40.59,88.82,0.99,0.99,0.99,-0.23
3.62,3.9,32.63,40.6,81.61,0.99,0.99,0.99,-0.25
4.37,-4.34,32.34,40.42,101.33,0.99,0.99,0.99,-0.24
3.28,2.88,32.1,40.22,82.38,0.99,0.99,0.99,-0.27
3.88,2.65,32.06,40.09,95.69,0.99,0.99,0.99,-0.25
3.04,3.01,31.84,39.96,93.24,0.99,0.99,0.99,-0.23
3.78,-2.02,31.85,39.91,93.95,0.99,0.99,0.99,-0.26
4.05,5.1,31.9,39.86,89.75,0.99,0.99,0.99,-0.25
4.4,-0.93,31.75,39.75,94.76,0.99,0.99,0.99,-0.25
3.65,1.95,31.53,39.51,96.54,0.99,0.99,0.99,-0.24
3.59,-1.91,31.34,39.4,97.56,0.99,0.99,0.99,-0.24
3.11,1.46,31.19,39.31,101.84,0.99,0.99,0.99,-0.24
2.77,-4.28,31.04,39.35,104.53,0.99,0.99,0.99,-0.26
3.16,-0.08,30.94,39.18,97.07,0.99,0.99,0.99,-0.25
2.32,0.44,30.79,39.03,97.07,0.99,0.99,0.99,-0.21
2.21,-0.03,30.63,39.05,97.07,0.99,0.99,0.99,-0.26
1.21,1.14,30.54,39.42,87.68,1.57,1.57,1.57,-0.11
1.36,-2.7,31.16,41.08,84.49,1.9,1.9,1.9,0
3.72,-13.52,31.62,41.72,77.5,1.73,1.73,1.73,0.15
5.07,-3.99,31.19,40.74,69.88,0.99,0.99,0.99,-0.26
7.87,-2.82,30.26,39.36,48.71,1,1,1,-0.26
9.69,-1.32,29.83,39.02,33.01,1,1,1,-0.23
10.98,-1.41,29.53,39.06,30.34,1.03,1.03,1.03,-0.17
10.63,-3.06,29.35,39.12,28.61,1.01,1.01,1.01,-0.22
10.22,-2.88,29.12,39.4,16.9,1,1,1,-0.23
9.84,-2.47,28.89,39.71,12.06,1,1,1,-0.23
11,1.14,28.68,39.94,7.46,1.03,1.03,1.03,-0.19
10.89,0.06,28.47,40.09,7.45,1.02,1.02,1.02,-0.23
11.58,1.53,28.26,40.14,10.8,1.05,1.05,1.05,-0.22
11.49,-4.98,28.04,40.09,15.04,1.04,1.04,1.04,-0.21
10.82,-1.22,27.77,40.18,7.52,1.01,1.01,1.01,-0.19
11.37,1.52,27.55,40.22,7.49,1.04,1.04,1.04,-0.22
11.98,1.55,27.37,40.29,7.44,1.07,1.07,1.07,-0.19
11.8,0.19,27.17,40.25,7.42,1.06,1.06,1.06,-0.19
11.76,-1.88,26.97,40.23,7.42,1.06,1.06,1.06,-0.18
11.45,-2.16,26.84,40.28,7.42,1.05,1.05,1.05,-0.18
10.93,-2.96,26.68,40.33,7.42,1.03,1.03,1.03,-0.24
10.69,-4.61,26.55,40.4,7.42,1.01,1.01,1.01,-0.26
11.54,-4.08,26.45,40.34,5.63,1.05,1.05,1.05,-0.27
10.63,0.55,26.34,40.29,-0.27,1.02,1.02,1.02,-0.28
10.81,3.75,26.27,40.2,-0.27,1.01,1.01,1.01,-0.27
11.46,-0.12,26.2,40.2,5.03,1.05,1.05,1.05,-0.23
11.67,-4.26,26.2,40.2,7.29,1.05,1.05,1.05,-0.27
11.46,-2.19,26.13,40.14,7.29,1.05,1.05,1.05,-0.25
11.51,-0.23,26.11,40.2,7.32,1.05,1.05,1.05,-0.24
10.9,-0.69,26.03,40.15,7.32,1.02,1.02,1.02,-0.28
